angDist,_RAJ2000,_DEJ2000,Source,Cluster,RAdeg,DEdeg,Gmag,plx,e_plx,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000124,68.1226314,20.7355042,144338187075686016,Hyades,68.12299,20.73538,15.071,17.064,0.099,Simbad,68.12263,20.7355,68.1226313749747,20.7355042253444,0.004,0.002,90,144338187075686016,68.12299403384,0.0930,20.73537733537,0.0449,17.3052,0.1143,78.774,0.236,-29.471,0.126,0,1.76635e+04,8.46474e+00,15.070672,2.20546e+03,1.14320e+01,16.992638,2.55716e+04,3.71726e+01,13.742526,3.250112,,,0,3890.42,1.2473,0.7107,,
0.000354,75.8295283,3.8403233,3238530414929634304,Hyades,75.82986,3.84038,15.589,21.598,0.035,Simbad,75.82953,3.84032,75.8295283415797,3.8403232107862,0.002,0.001,90,3238530414929634304,75.82985912003,0.0582,3.84038137078,0.0440,21.6190,0.0814,76.653,0.141,13.508,0.089,0,1.09628e+04,8.88368e+00,15.588563,1.33396e+03,1.10243e+01,17.538527,1.59178e+04,3.73567e+01,14.257213,3.281314,,,0,4025.62,0.1155,0.0700,,
0.000464,69.2715564,20.7181522,3411274308810562688,Hyades,69.27192,20.71802,14.024,17.408,0.044,Simbad,69.27156,20.71815,69.2715565217795,20.7181521394304,0.002,0.001,90,3411274308810562688,69.27192205375,0.0711,20.71801635709,0.0401,17.4268,0.0769,79.408,0.132,-31.537,0.088,0,4.63243e+04,4.95560e+01,14.023844,8.44195e+03,4.37035e+01,15.535281,5.97878e+04,1.39965e+02,12.820388,2.714893,,,0,3802.12,0.4250,0.2410,,
0.000367,53.2086622,23.6921872,68001499939741440,Hyades,53.20942,23.69202,8.635,23.765,0.022,Simbad,53.20866,23.69219,53.2086620907580,23.6921871797457,0.002,0.001,90,68001499939741440,53.20942466621,0.0555,23.69201715075,0.0324,23.7704,0.0552,162.187,0.125,-39.491,0.072,0,6.63020e+06,3.08114e+03,8.634549,3.20712e+06,6.15620e+03,9.086100,4.76687e+06,1.12577e+04,8.066338,1.019762,31.69,0.13,6,5185.55,0.0920,0.0460,0.87,0.494
0.000303,54.1301881,22.7824847,67696694700442624,Hyades,54.13098,22.78229,12.979,25.758,0.09,Simbad,54.13019,22.78248,54.1301880100165,22.7824846857818,0.004,0.003,90,67696694700442624,54.13097780883,0.1256,22.78229278814,0.0864,25.9589,0.1415,169.126,0.242,-44.570,0.186,0,1.21323e+05,2.35146e+02,12.978507,2.12859e+04,1.39708e+02,14.531159,1.56866e+05,4.88975e+02,11.773098,2.758061,,,0,4061.88,,,,
0.000389,69.7756628,7.8709883,3292227607891547264,Hyades,69.77607,7.87099,5.308,20.305,0.089,Simbad,69.77566,7.87099,69.7756628160354,7.8709884069673,0.004,0.002,90,3292227607891547264,69.77607474800,0.1186,7.87098635114,0.0764,20.0808,0.1554,94.773,0.271,-0.478,0.149,0,1.41964e+08,1.72240e+05,5.307923,9.05433e+07,8.11686e+04,5.459247,7.16099e+07,6.86943e+04,5.124487,0.334760,,,0,7624.67,0.6848,0.3290,2.14,13.991
0.000449,70.4295686,8.4380886,3292367795624174720,Hyades,70.43001,8.43808,15.502,23.628,0.079,Simbad,70.42957,8.43809,70.4295687023982,8.4380885274325,0.002,0.001,90,3292367795624174720,70.43000995749,0.0653,8.43808398641,0.0433,23.6637,0.0835,101.376,0.157,-1.055,0.093,0,1.18735e+04,6.36684e+00,15.501918,1.24830e+03,8.88531e+00,17.610594,1.79621e+04,4.97374e+01,14.126030,3.484564,,,0,3698.06,0.7410,0.4540,,
0.000511,70.4290192,8.4392592,3292367795624174592,Hyades,70.42948,8.43925,14.102,23.559,0.034,Simbad,70.42902,8.43926,70.4290192123664,8.4392590586271,0.002,0.001,90,3292367795624174592,70.42948234307,0.0464,8.43925117523,0.0305,23.5273,0.0578,106.401,0.113,-1.831,0.064,1,4.31210e+04,3.93194e+01,14.101643,6.26756e+03,4.82535e+01,15.858642,5.99901e+04,1.34226e+02,12.816721,3.041921,,,0,4124.43,0.7490,0.4340,,
0.000203,53.5439917,22.0725878,64552022725337856,Hyades,53.54486,22.0724,14.61,28.054,0.049,Simbad,53.54399,22.07259,53.5439916589526,22.0725878414504,0.003,0.002,90,64552022725337856,53.54486078123,0.0845,22.07239943834,0.0624,28.1664,0.0968,187.066,0.172,-43.759,0.128,0,2.69968e+04,2.15992e+01,14.610086,3.46447e+03,2.15408e+01,16.502295,3.84277e+04,8.21478e+01,13.300308,3.201986,,,0,3564.95,0.4155,0.2517,,
0.000671,59.8123781,6.22788,3273807936268126464,Hyades,59.81286,6.22792,14.549,18.431,0.046,Simbad,59.81238,6.22788,59.8123779447518,6.2278801043983,0.002,0.001,90,3273807936268126464,59.81285756233,0.0640,6.22791583220,0.0398,18.3831,0.0805,110.738,0.150,8.298,0.092,0,2.85622e+04,1.54513e+01,14.548886,4.73141e+03,1.63038e+01,16.163910,3.79411e+04,5.58222e+01,13.314146,2.849764,,,0,3935.94,,,,
